T12,Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2022,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2005,"Intentional homicide rates per 100,000",14.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2005,"Percentage of male and female intentional homicide victims, Male",24.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2005,"Percentage of male and female intentional homicide victims, Female",5.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2010,"Intentional homicide rates per 100,000",13.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Male",22.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Female",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",13.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Male",22.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Female",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2022,"Intentional homicide rates per 100,000",14.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2022,"Percentage of male and female intentional homicide victims, Male",23.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
202,Sub-Saharan Africa,2022,"Percentage of male and female intentional homicide victims, Female",5.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2005,"Intentional homicide rates per 100,000",14.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Male",26.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2010,"Intentional homicide rates per 100,000",16.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Male",30.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2015,"Intentional homicide rates per 100,000",16.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Male",29.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2022,"Intentional homicide rates per 100,000",14.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2022,"Percentage of male and female intentional homicide victims, Male",26.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
19,Americas,2022,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2005,"Intentional homicide rates per 100,000",5.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2010,"Intentional homicide rates per 100,000",4.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",7.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2015,"Intentional homicide rates per 100,000",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Male",7.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2022,"Intentional homicide rates per 100,000",6.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2022,"Percentage of male and female intentional homicide victims, Male",9.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
21,Northern America,2022,"Percentage of male and female intentional homicide victims, Female",2.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
419,Latin America & the Caribbean,2005,"Intentional homicide rates per 100,000",20.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Male",37.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
