T12,Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
203,Czechia,2015,"Theft at the national level, rate per 100,000 population",805.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2015,"Total Sexual Violence at the national level, rate per 100,000",13.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2022,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2022,"Percentage of male and female intentional homicide victims, Male",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2022,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2022,"Assault rate per 100,000 population",39.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2022,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2022,"Theft at the national level, rate per 100,000 population",331.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
203,Czechia,2022,"Total Sexual Violence at the national level, rate per 100,000",17.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2002,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2002,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2002,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2005,"Percentage of male and female intentional homicide victims, Male",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2005,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2005,"Assault rate per 100,000 population",204.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2005,"Theft at the national level, rate per 100,000 population","3,092.5",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2010,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2010,"Percentage of male and female intentional homicide victims, Male",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2010,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2010,"Assault rate per 100,000 population",31.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2010,"Theft at the national level, rate per 100,000 population","4,354.3",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2010,"Total Sexual Violence at the national level, rate per 100,000",36.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2015,"Intentional homicide rates per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2015,"Percentage of male and female intentional homicide victims, Male",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2015,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2015,"Assault rate per 100,000 population",25.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2015,"Theft at the national level, rate per 100,000 population","3,978.1",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2015,"Total Sexual Violence at the national level, rate per 100,000",46.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2022,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2022,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2022,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2022,"Assault rate per 100,000 population",36.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2022,"Theft at the national level, rate per 100,000 population","2,492.5",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
208,Denmark,2022,"Total Sexual Violence at the national level, rate per 100,000",107.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2003,"Intentional homicide rates per 100,000",11.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2003,"Percentage of male and female intentional homicide victims, Male",16.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2003,"Percentage of male and female intentional homicide victims, Female",6.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2005,"Intentional homicide rates per 100,000",11.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2010,"Intentional homicide rates per 100,000",21.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2010,"Percentage of male and female intentional homicide victims, Male",37.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2010,"Percentage of male and female intentional homicide victims, Female",5.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2015,"Intentional homicide rates per 100,000",12.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2015,"Percentage of male and female intentional homicide victims, Male",22.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2015,"Percentage of male and female intentional homicide victims, Female",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2015,"Assault rate per 100,000 population",125.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2015,"Kidnapping at the national level, rate per 100,000",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2015,"Theft at the national level, rate per 100,000 population",104.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2015,"Total Sexual Violence at the national level, rate per 100,000",135.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2021,"Intentional homicide rates per 100,000",13.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2021,"Percentage of male and female intentional homicide victims, Male",22.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2021,"Percentage of male and female intentional homicide victims, Female",5.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2021,"Assault rate per 100,000 population","1,012.3",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2021,"Kidnapping at the national level, rate per 100,000",5.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2021,"Theft at the national level, rate per 100,000 population","1,441.7",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2021,"Total Sexual Violence at the national level, rate per 100,000",88.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2022,"Assault rate per 100,000 population","1,020.1",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2022,"Kidnapping at the national level, rate per 100,000",8.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2022,"Theft at the national level, rate per 100,000 population","1,279.9",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
212,Dominica,2022,"Total Sexual Violence at the national level, rate per 100,000",123.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2005,"Intentional homicide rates per 100,000",26.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2005,"Percentage of male and female intentional homicide victims, Male",46.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2005,"Percentage of male and female intentional homicide victims, Female",4.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2005,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2006,"Intentional homicide rates per 100,000",23.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2006,"Percentage of male and female intentional homicide victims, Male",41.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2006,"Percentage of male and female intentional homicide victims, Female",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2006,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2010,"Intentional homicide rates per 100,000",25.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2010,"Percentage of male and female intentional homicide victims, Male",45.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2010,"Percentage of male and female intentional homicide victims, Female",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2014,"Intentional homicide rates per 100,000",17.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2014,"Percentage of male and female intentional homicide victims, Male",31.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2014,"Percentage of male and female intentional homicide victims, Female",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2014,"Assault rate per 100,000 population",41.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2014,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2014,"Theft at the national level, rate per 100,000 population",7.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2014,"Total Sexual Violence at the national level, rate per 100,000",82.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2015,"Assault rate per 100,000 population",37.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2015,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2015,"Theft at the national level, rate per 100,000 population",10.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2015,"Total Sexual Violence at the national level, rate per 100,000",64.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2020,"Intentional homicide rates per 100,000",8.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2020,"Percentage of male and female intentional homicide victims, Male",15.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2020,"Percentage of male and female intentional homicide victims, Female",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2020,"Assault rate per 100,000 population",23.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2020,"Kidnapping at the national level, rate per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2020,"Theft at the national level, rate per 100,000 population",261.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2020,"Total Sexual Violence at the national level, rate per 100,000",44.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2022,"Intentional homicide rates per 100,000",12.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2022,"Percentage of male and female intentional homicide victims, Male",21.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2022,"Percentage of male and female intentional homicide victims, Female",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2022,"Assault rate per 100,000 population",27.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2022,"Theft at the national level, rate per 100,000 population",25.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
214,Dominican Republic,2022,"Total Sexual Violence at the national level, rate per 100,000",54.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2002,"Intentional homicide rates per 100,000",14.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2002,"Percentage of male and female intentional homicide victims, Male",26.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2002,"Percentage of male and female intentional homicide victims, Female",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2005,"Percentage of male and female intentional homicide victims, Male",28.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2005,"Percentage of male and female intentional homicide victims, Female",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2005,"Assault rate per 100,000 population",56.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2005,"Theft at the national level, rate per 100,000 population",43.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2010,"Intentional homicide rates per 100,000",17.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2010,"Percentage of male and female intentional homicide victims, Male",31.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2010,"Percentage of male and female intentional homicide victims, Female",3.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2010,"Assault rate per 100,000 population",30.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2010,"Theft at the national level, rate per 100,000 population",33.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2010,"Total Sexual Violence at the national level, rate per 100,000",24.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2015,"Intentional homicide rates per 100,000",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2015,"Percentage of male and female intentional homicide victims, Male",10.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2015,"Percentage of male and female intentional homicide victims, Female",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2015,"Assault rate per 100,000 population",49.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2015,"Kidnapping at the national level, rate per 100,000",7.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2015,"Theft at the national level, rate per 100,000 population",207.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2015,"Total Sexual Violence at the national level, rate per 100,000",65.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2022,"Intentional homicide rates per 100,000",27.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2022,"Percentage of male and female intentional homicide victims, Male",49.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2022,"Percentage of male and female intentional homicide victims, Female",4.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2022,"Assault rate per 100,000 population",37.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2022,"Kidnapping at the national level, rate per 100,000",6.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2022,"Theft at the national level, rate per 100,000 population",110.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
218,Ecuador,2022,"Total Sexual Violence at the national level, rate per 100,000",91.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2005,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2005,"Percentage of male and female intentional homicide victims, Male",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2005,"Percentage of male and female intentional homicide victims, Female",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2005,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2005,"Theft at the national level, rate per 100,000 population",44.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2010,"Intentional homicide rates per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2010,"Percentage of male and female intentional homicide victims, Male",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2010,"Percentage of male and female intentional homicide victims, Female",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2010,"Assault rate per 100,000 population",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2010,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2010,"Theft at the national level, rate per 100,000 population",88.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2010,"Total Sexual Violence at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2011,"Intentional homicide rates per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2011,"Percentage of male and female intentional homicide victims, Male",5.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2011,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2011,"Assault rate per 100,000 population",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2011,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2011,"Theft at the national level, rate per 100,000 population",97.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2011,"Total Sexual Violence at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2012,"Intentional homicide rates per 100,000",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2012,"Percentage of male and female intentional homicide victims, Male",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2012,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2015,"Intentional homicide rates per 100,000",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2017,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
818,Egypt,2021,"Percentage of male and female intentional homicide victims, Female",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2005,"Intentional homicide rates per 100,000",64.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2005,"Percentage of male and female intentional homicide victims, Male",120.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2005,"Percentage of male and female intentional homicide victims, Female",12.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2005,"Assault rate per 100,000 population",76.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2005,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2005,"Theft at the national level, rate per 100,000 population",177.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2010,"Intentional homicide rates per 100,000",65.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2010,"Percentage of male and female intentional homicide victims, Male",117.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2010,"Percentage of male and female intentional homicide victims, Female",17.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2010,"Assault rate per 100,000 population",63.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2010,"Kidnapping at the national level, rate per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2010,"Theft at the national level, rate per 100,000 population",158.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2010,"Total Sexual Violence at the national level, rate per 100,000",36.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2015,"Intentional homicide rates per 100,000",106.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2015,"Percentage of male and female intentional homicide victims, Male",204.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2015,"Percentage of male and female intentional homicide victims, Female",17.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2015,"Assault rate per 100,000 population",94.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2015,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2015,"Theft at the national level, rate per 100,000 population",137.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2015,"Total Sexual Violence at the national level, rate per 100,000",71.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2022,"Intentional homicide rates per 100,000",7.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2022,"Percentage of male and female intentional homicide victims, Male",14.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
222,El Salvador,2022,"Percentage of male and female intentional homicide victims, Female",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
